필명,작품제목,응모분야,좋아요 수
개구리,구상과 구성,산문,5
명,서울역의 비둘기,운문,8
명,순애(哀)보 ,운문,3
개구리,"1711 Hume Road, 자아의 집",산문,10
결,물듦,운문,18
이기범,절,운문,7
이기범,익사,운문,4
청포도,기억의 각인,운문,8
청포도,닫아걸음,운문,8
미인,가식,운문,13
미인,엄선,운문,11
쌀밥,식는 중...,산문,16
금반지,아르바이트생,산문,6
입력필명,小'說,산문,6
9등급의 반란,달이 된 아이,산문,19
현,청금석(靑金石),운문,2
이삼,유성,운문,3
이삼,거울,운문,4
로맹가리,어떤 비밀,산문,21
피자나라 치킨공주,어머니의 뒷모습,운문,4
피자나라 치킨공주,포도의 속마음,운문,3
설화,마음의 책갈피,운문,14
설화,별과 같은 사람이 되어야지,운문,24
건포도 위,처음의 끝,운문,8
건포도 위,바람이 불어 오는 곳,운문,5
설화,"노력하는 소녀, 별빛 아래에 소년",산문,14
예감치즈그라탕맛,부모,운문,3
예감치즈그라탕맛,액자,운문,3
서정우,"큰 꿈, 큰 별",운문,16
서정우,나는 오늘도 걷는다,운문,13
이삼,여름앓이,산문,5
라온,익애 (溺愛),산문,2
봄눈,낙화(落花）,운문,10
봄눈,개미,운문,4
나,여느 날,운문,3
모르는 사람,장미의 이름,운문,1
모르는 사람,담배,운문,4
나,유물 한 짝,운문,3
박성현,문학 남자,산문,4
우무문어,불행은 금붕어의 얼굴을 하고 찾아온다,산문,17
텀블러,"진달래, 진딧물",산문,11
낯가리는 밤,김밥,운문,8
낯가리는 밤,대나무,운문,4
갈애,규화(葵花),운문,5
우무문어,사의찬미,운문,5
우무문어,스테디셀러,운문,8
갈애,임(林)에게,운문,8
봄날처럼,한착(恨着),운문,3
봄날처럼,諸行無常,운문,4
수풀,닿지 못한 편지,운문,7
수풀,투명,운문,6
이봄,검은머리흰죽지,운문,6
잉,iCloud에 백업할 수 없음,운문,21
며루치,중심잡기,운문,4
며루치,제육대회,운문,8
러시안블루,너나들이,운문,4
러시안블루,가닿다,운문,7
헤일로,이상(理想)한 비상,운문,5
헤일로,하늘에 수놓은 자수란 이토록 찬란한가,운문,7
이기범,자세,운문,3
이기범,동행,운문,5
만인의 지인,<인사>,운문,32
만인의 지인,<한마디>,운문,26
9등급의 반란,서화(徐化),산문,20
강아무개,1편 연필,운문,4
랏소,"당연했음에도, 당연하지 않은 것",운문,4
tls123,순간(瞬間),운문,8
tls123,돌아오지 못할 여행,운문,7
tls123,어머니 꿈,운문,10
tls123,파란(波瀾),운문,10
라온하제,연고,산문,7
랏소,낙서,운문,3
깜장나무,청춘 팽창,운문,9
깜장나무,4월의 어느 날,운문,8
